Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.8,1968773,520,3786.1,3776.0,3584,4064,80.0,"void cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::DeviceMergeSortMergeKernel<cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::policy_hub<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, unsigned long long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::vsmem_t)"
0.7,1896581,260,7294.5,7296.0,7072,7552,80.0,"cuvslam::cuda::non_max_suppression_kernel(unsigned long long, uint2, float *, int)"
0.7,1873221,520,3602.3,3584.0,3456,3809,78.5,"void cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::DeviceMergeSortPartitionKernel<cuvslam::cuda::Keypoint *, unsigned long long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.6,1457124,260,5604.3,5600.0,5472,5760,50.1,"cuvslam::cuda::downsample_gftt_x8_kernel(const float *, int, float *, uint2, int, uint2 *, int)"
0.6,1423204,260,5473.9,5472.0,5344,5632,46.6,"cuvslam::cuda::accumulateGFTT_kernel(unsigned long long, uint2, uint2, uint2, float *)"
0.4,1105125,899,1229.3,1216.0,1184,1280,18.9,"cuvslam::cuda::sba::clear_full_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, int)"
0.4,986468,641,1539.0,1536.0,1472,1569,21.4,"cuvslam::cuda::sba::update_poses_kernel(cuvslam::cuda::Mat<float, (int)4, (int)4> *, cuvslam::cuda::Mat<float, (int)4, (int)4> *, int)"
0.4,903266,641,1409.2,1408.0,1376,1440,21.2,"cuvslam::cuda::sba::update_points_kernel(cuvslam::cuda::sba::Point *, float3 *, int)"
0.3,764929,260,2942.0,2944.0,2880,3008,27.9,"cuvslam::cuda::select_features_kernel(const float *, uint2, unsigned long, const float *, uint2, int, const uint2 *, int, cuvslam::cuda::Keypoint *, int, int *, int *)"
0.1,374722,249,1504.9,1536.0,1408,1728,67.2,"cuvslam::cuda::filter_maximums_kernel(float *, uint2, int, const cuvslam::cuda::Keypoint *, int)"
