kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,borderline:G1-bandwidth↔G4-latency,strong,DRAM-PiM (bank-level bandwidth),0.048,0.654,97.41,8.4,2.4,29.4,0.461,95829.3,long_scoreboard,memory-limited (MemSoL 8%) without a sharper signature,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.045,0.373,1069.32,1.3,4.0,4.7,0.047,12044.8,wait,"'wait' stall dominant at 5% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.044,0.519,116.91,11.3,3.9,15.6,0.721,107814,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 11%",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.034,0.789,89.84,13.2,2.4,47.0,0.451,95513.6,long_scoreboard,memory-limited (MemSoL 13%) without a sharper signature,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.032,0.35,38.47,42.0,4.0,85.4,16.09,2.89498e+06,long_scoreboard,memory-limited (MemSoL 64%) without a sharper signature,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.03,0.293,11.14,1.0,2.3,14.0,4.956,7210.67,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.029,0.299,170.67,0.7,13.5,12.4,0.307,4849.78,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.027,0.353,2877.19,0.8,1.0,2.1,0.003,5248,long_scoreboard,"long-scoreboard dominant at 2% occupancy, DRAM-SoL 1%",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
xxtrf4_set_info_ker,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.242,10857.14,0.6,1.0,2.1,0.0,2432,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
dtrsv_init_up,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.25,9422.22,0.7,1.0,2.1,0.0,2713.6,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
copy_info_kernel,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.244,10857.14,0.6,1.0,2.1,0.0,2432,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.259,10800.0,0.7,1.0,2.1,0.0,2764.8,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,low,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.015,0.37,80.97,4.1,7.0,15.0,3.471,130944,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 4%; only n=1 profiled launches — small sample",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
non_max_suppression_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.013,0.386,78.56,53.2,3.9,86.5,0.0,1.44794e+06,long_scoreboard,DRAM-SoL 53%; LFMR 0.39 (L2 absorbing reuse); only n=1 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.012,0.316,436.52,0.5,2.3,3.8,0.0,6656,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.012,0.367,35.33,2.8,12.1,16.6,0.0,69120,wait,"'wait' stall dominant at 17% occupancy; memory is not the wall (MemSoL 8%, DRAM-SoL 3%); note: scattered access (12 sect/req) — re-screen for PiM once occupancy is fixed; only n=1 profiled launches — small sample",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
accumulateGFTT_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.011,0.956,125.36,59.0,0,80.5,1.337,1.44909e+06,long_scoreboard,DRAM-SoL 59%; LFMR 0.96 (L2 not helping); only n=1 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.01,0.364,147.47,6.3,12.1,16.5,0.0,69376,wait,"'wait' stall dominant at 16% occupancy; memory is not the wall (MemSoL 6%, DRAM-SoL 6%); note: scattered access (12 sect/req) — re-screen for PiM once occupancy is fixed; only n=2 profiled launches — small sample",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
downsample_gftt_x8_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.01,0.805,122.28,69.1,4.0,79.8,0.0,1.44832e+06,long_scoreboard,DRAM-SoL 69%; LFMR 0.81 (L2 not helping); only n=1 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.007,0.114,169.22,5.3,25.5,14.5,6.863,81536,long_scoreboard,25 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
select_features_kernel,feature_detect,streaming,G2-coalescing,low,borderline:G1-bandwidth↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.006,0.849,729.22,40.8,18.7,15.2,0.112,497920,long_scoreboard,19 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,borderline:G0-nosignal↔G2-coalescing,n/a,—,0.005,0.009,3.81,0.3,24.0,42.4,0.0,2944,wait,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_061729_mav0_ncu_dellworkstation_sm89
filter_maximums_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G2-coalescing↔G3-l2-reuse,weak,"weak, cache-friendly",0.003,0.065,15.45,1.0,6.6,15.7,0.0,5632,long_scoreboard,memory-limited but LFMR 0.06 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.002,0.251,1217.39,0.7,3.0,15.1,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); only n=1 profiled launches — small sample",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
