kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.083,0.334,344.25,1.1,2.0,7.1,0.06,22528,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G1-bandwidth↔G3-l2-reuse,weak,"weak, cache-friendly",0.081,0.344,38.53,42.6,4.0,85.7,16.071,3.75974e+06,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.071,0.328,388.27,3.5,5.6,8.1,0.683,59761.8,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 4%, DRAM-SoL 4%)",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.069,0.429,121.62,33.7,4.0,48.8,3.499,507136,mio_throttle,dominant stall mio_throttle (8.0 warps) with DRAM unsaturated,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.067,0.606,338.8,3.1,23.5,13.4,0.361,22214.4,long_scoreboard,23 sectors/request (4 = coalesced),2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.066,0.359,201.4,0.8,3.6,15.2,0.0,6257.78,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
lk_track_horizontal_kernel,tracking,streaming+hot,G1-bandwidth,low,borderline:G1-bandwidth↔G4-latency,strong,near-sensor SRAM (consume before DRAM),0.065,0.455,56.49,22.7,2.3,30.2,9.059,1.60838e+06,long_scoreboard,memory-limited (MemSoL 24%) without a sharper signature,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.058,0.202,35.85,9.8,10.5,78.3,1.29,122701,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.057,0.669,96.52,9.4,2.4,34.5,0.467,115763,long_scoreboard,memory-limited (MemSoL 9%) without a sharper signature,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.043,0.506,118.02,11.2,3.9,16.0,0.762,114802,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 11%",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.041,0.369,1065.66,1.2,4.0,4.7,0.047,12003.6,wait,"'wait' stall dominant at 5% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.037,0.333,453.84,0.5,3.4,3.8,0.0,7210.67,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,low,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.036,0.393,82.49,4.6,6.4,15.3,3.237,179904,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 5%; only n=2 profiled launches — small sample",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.034,0.281,11.03,1.0,2.3,14.0,5.003,7142.4,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.032,0.297,170.72,0.7,13.5,12.4,0.307,4851.2,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.032,0.815,89.13,15.3,2.4,57.2,0.456,115812,long_scoreboard,memory-limited (MemSoL 15%) without a sharper signature,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.031,0.436,174.76,11.0,12.0,16.4,0.0,124139,long_scoreboard,12 sectors/request (4 = coalesced),2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.03,0.397,7789.47,2.2,1.0,2.1,0.001,14208,long_scoreboard,"long-scoreboard dominant at 2% occupancy, DRAM-SoL 2%",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
non_max_suppression_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.03,0.384,79.29,58.5,4.0,87.2,0.0,1.88102e+06,long_scoreboard,DRAM-SoL 59%; LFMR 0.38 (L2 absorbing reuse); only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
accumulateGFTT_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.026,0.96,125.37,66.3,0,82.0,1.338,1.88224e+06,long_scoreboard,DRAM-SoL 66%; LFMR 0.96 (L2 not helping); only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.024,0.392,32.91,3.8,12.0,16.6,0.0,98496,wait,"'wait' stall dominant at 17% occupancy; memory is not the wall (MemSoL 12%, DRAM-SoL 4%); note: scattered access (12 sect/req) — re-screen for PiM once occupancy is fixed; only n=2 profiled launches — small sample",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
downsample_gftt_x8_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.024,0.811,121.49,72.6,4.0,82.7,0.0,1.86944e+06,long_scoreboard,DRAM-SoL 73%; LFMR 0.81 (L2 not helping); only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.017,0.382,56944.44,3.7,1.0,2.1,0.0,14577.8,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 4%, DRAM-SoL 4%)",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
copy_info_kernel,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.017,0.242,10984.13,0.6,1.0,2.1,0.0,2460.44,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
xxtrf4_set_info_ker,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.017,0.306,38158.73,2.1,1.0,2.1,0.0,8547.56,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 2%)",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
dtrsv_init_up,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.017,0.249,9481.48,0.7,1.0,2.1,0.0,2730.67,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.015,0.172,165.13,6.9,26.5,14.9,7.167,107968,long_scoreboard,26 sectors/request (4 = coalesced); only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
select_features_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G2-coalescing,strong,near-sensor SRAM (consume before DRAM),0.014,0.856,855.04,50.6,22.1,20.6,0.115,766528,long_scoreboard,DRAM-SoL 51%; LFMR 0.86 (L2 not helping); only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,borderline:G0-nosignal↔G2-coalescing,n/a,—,0.011,0.006,3.07,0.3,24.0,42.5,0.0,2944,wait,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
filter_maximums_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G2-coalescing↔G3-l2-reuse,weak,"weak, cache-friendly",0.005,0.053,17.27,1.0,6.6,13.3,0.0,5376,long_scoreboard,memory-limited but LFMR 0.05 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.004,0.242,1217.39,0.7,3.0,15.2,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); only n=2 profiled launches — small sample",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
