app,kernel,class,confidence,stability,dram_sol,lfmr,mpki,sect,occ,ai,t_base_ms,share_pct,s_core,s_mem,screened,signature
hb_jacobi,jacobi_step,G1-bandwidth,medium,borderline:G1-bandwidth↔G3-l2-reuse,55.4,0.323,80.34,4.0,78.3,4.221,1284.819,100.0,1.793,1.154,False,match
hb_jenkins_hash,jk3_hash_kernel,G1-bandwidth,high,stable,95.5,0.898,152.59,11.3,86.8,1.828,510.202,100.0,1.026,1.361,False,match
hb_kalman,kalman,G3-l2-reuse,medium,stable,0.5,0.028,57.82,31.2,16.5,1.307,9945.705,100.0,2.001,1.0,False,match
hb_keccaktreehash,ker_Keccak,G5-compute,high,stable,9.6,0.996,14.39,4.0,9.1,66.578,54.336,100.0,1.882,0.994,False,match
hb_keogh,lb_keogh,G1-bandwidth,low,stable,4.7,0.619,2.56,4.0,98.9,282.692,3374.529,100.0,2.0,1.0,False,mismatch
hb_kernelLaunch,KernelWithSmallArgs,G7-dependency,medium,stable,1.5,0.293,5076.01,0.0,2.1,0.001,2537.931,35.11,1.674,1.0,False,match
hb_kiss,unsigned,G1-bandwidth,medium,stable,95.1,0.004,205.08,8.0,98.6,4.121,,,,,True,
hb_knn,cuComputeDistanceGlobal,G6-onchip,medium,stable,5.5,0.024,6.85,4.0,98.6,60.448,562.954,58.36,1.989,1.0,False,match
hb_knn,cuInsertionSort,G3-l2-reuse,medium,stable,8.1,0.197,44.71,2.0,16.5,1.716,401.193,41.59,1.936,1.04,False,match
hb_knn,cuParallelSqrt,G1-bandwidth,low,stable,30.9,0.491,122.41,4.0,64.5,2.575,0.395,0.04,1.625,1.03,True,
hb_kurtosis,DeviceReduceKernel,G1-bandwidth,high,stable,97.5,1.0,206.12,24.0,99.7,4.289,,,,,True,
hb_kurtosis,DeviceReduceSingleTileKernel,G7-dependency,medium,stable,4.0,0.508,493.01,19.7,9.9,0.965,,,,,True,
hb_langford,dfs_gpu,G1-bandwidth,low,stable,0.4,0.921,0.39,1.0,33.8,76.275,367.919,100.0,2.165,1.047,False,mismatch
hb_laplace3d,laplace3d,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,33.2,0.385,74.38,5.0,48.1,2.767,9.53,100.0,1.862,0.999,False,mismatch
hb_lavaMD,md,G5-compute,low,stable,1.5,0.059,0.86,12.5,83.1,1109.961,60.649,100.0,2.0,1.0,False,match
